iter	Passed	Remaining
805	7728	1860
806	7738	1850
807	7747	1840
808	7756	1831
809	7765	1821
810	7774	1811
811	7785	1802
812	7795	1792
813	7805	1783
814	7815	1773
815	7824	1764
816	7833	1754
817	7842	1744
818	7852	1735
819	7862	1725
820	7871	1716
821	7880	1706
822	7889	1696
823	7898	1687
824	7908	1677
825	7916	1667
826	7926	1658
827	7935	1648
828	7944	1638
829	7953	1629
830	7962	1619
831	7972	1609
832	7982	1600
833	7992	1590
834	8002	1581
835	8010	1571
836	8020	1562
837	8030	1552
838	8039	1542
839	8049	1533
840	8058	1523
841	8067	1513
842	8077	1504
843	8086	1494
844	8095	1485
845	8104	1475
846	8114	1465
847	8123	1456
848	8132	1446
849	8141	1436
850	8150	1427
851	8160	1417
852	8170	1408
853	8180	1398
854	8189	1388
855	8199	1379
856	8209	1369
857	8218	1360
858	8227	1350
859	8237	1340
860	8246	1331
861	8255	1321
862	8265	1312
863	8274	1302
864	8284	1292
865	8293	1283
866	8306	1274
867	8314	1264
868	8324	1254
869	8333	1245
870	8343	1235
871	8352	1226
872	8361	1216
873	8371	1206
874	8381	1197
875	8391	1187
876	8401	1178
877	8410	1168
878	8419	1159
879	8429	1149
880	8438	1139
881	8447	1130
882	8457	1120
883	8466	1110
884	8476	1101
885	8484	1091
886	8493	1082
887	8503	1072
888	8513	1062
889	8522	1053
890	8531	1043
891	8540	1034
892	8549	1024
893	8559	1014
894	8569	1005
895	8578	995
896	8588	986
897	8598	976
898	8608	967
899	8617	957
900	8627	947
901	8635	938
902	8645	928
903	8654	919
904	8664	909
905	8674	899
906	8683	890
907	8692	880
908	8701	871
909	8710	861
910	8719	851
911	8728	842
912	8737	832
913	8746	822
914	8756	813
915	8765	803
916	8774	794
917	8785	784
918	8794	775
919	8804	765
920	8814	756
921	8823	746
922	8833	736
923	8841	727
924	8852	717
925	8860	708
926	8869	698
927	8878	688
928	8887	679
929	8896	669
930	8905	660
931	8914	650
932	8924	640
933	8933	631
934	8941	621
935	8950	611
936	8959	602
937	8969	592
938	8979	583
939	8989	573
940	8999	564
941	9008	554
942	9017	545
943	9026	535
944	9035	525
945	9044	516
946	9053	506
947	9063	497
948	9071	487
949	9080	477
950	9090	468
951	9099	458
952	9108	449
953	9117	439
954	9127	430
955	9136	420
956	9144	410
957	9153	401
958	9162	391
959	9173	382
960	9183	372
961	9193	363
962	9202	353
963	9212	344
964	9222	334
965	9231	324
966	9241	315
967	9249	305
968	9259	296
969	9268	286
970	9278	277
971	9287	267
972	9295	257
973	9304	248
974	9313	238
975	9322	229
976	9331	219
977	9340	210
978	9349	200
979	9358	190
980	9368	181
981	9378	171
982	9388	162
983	9397	152
984	9407	143
985	9416	133
986	9425	124
987	9434	114
988	9444	105
989	9453	95
990	9462	85
991	9471	76
992	9480	66
993	9490	57
994	9500	47
995	9510	38
996	9518	28
997	9528	19
998	9537	9
999	9547	0
